File,AIC
SS5_replicate8_3.str.admix.K=4.out,568.780827
SS5_replicate8_4.str.admix.K=4.out,1015.808294
SS5_replicate8_5.str.admix.K=4.out,632.989595
SS5_replicate8_6.str.admix.K=4.out,640.801178
SS5_replicate8_7.str.admix.K=4.out,828.667266
SS5_replicate8_8.str.admix.K=4.out,763.936716
SS5_replicate8_9.str.admix.K=4.out,649.460710
SS5_replicate9_0.str.admix.K=4.out,687.663235
SS5_replicate9_10.str.admix.K=4.out,1895.200747
SS5_replicate9_11.str.admix.K=4.out,1134.124582
SS5_replicate9_12.str.admix.K=4.out,1596.165986
SS5_replicate9_13.str.admix.K=4.out,713.651347
SS5_replicate9_14.str.admix.K=4.out,932.083779
SS5_replicate9_15.str.admix.K=4.out,866.504834
SS5_replicate9_16.str.admix.K=4.out,1102.646446
SS5_replicate9_17.str.admix.K=4.out,534.953064
SS5_replicate9_18.str.admix.K=4.out,1510.568744
SS5_replicate9_19.str.admix.K=4.out,632.241931
SS5_replicate9_1.str.admix.K=4.out,710.401435
SS5_replicate9_2.str.admix.K=4.out,768.929442
SS5_replicate9_3.str.admix.K=4.out,537.556444
SS5_replicate9_4.str.admix.K=4.out,722.039353
SS5_replicate9_5.str.admix.K=4.out,1040.779317
SS5_replicate9_6.str.admix.K=4.out,752.651517
SS5_replicate9_7.str.admix.K=4.out,1074.213436
SS5_replicate9_8.str.admix.K=4.out,1016.526219
SS5_replicate9_9.str.admix.K=4.out,1119.817770
