File,BIC
K1_ILM10_replicate8_0.str.admix.K=1.out,3113.525142
K1_ILM10_replicate8_10.str.admix.K=1.out,4630.269835
K1_ILM10_replicate8_11.str.admix.K=1.out,3038.697171
K1_ILM10_replicate8_12.str.admix.K=1.out,2199.495598
K1_ILM10_replicate8_13.str.admix.K=1.out,3343.170689
K1_ILM10_replicate8_14.str.admix.K=1.out,2685.886305
K1_ILM10_replicate8_15.str.admix.K=1.out,2882.986920
K1_ILM10_replicate8_16.str.admix.K=1.out,3220.215967
K1_ILM10_replicate8_17.str.admix.K=1.out,1636.172506
K1_ILM10_replicate8_18.str.admix.K=1.out,4680.619489
K1_ILM10_replicate8_19.str.admix.K=1.out,2400.963849
K1_ILM10_replicate8_1.str.admix.K=1.out,2014.427658
K1_ILM10_replicate8_2.str.admix.K=1.out,2544.699835
K1_ILM10_replicate8_3.str.admix.K=1.out,1789.112519
K1_ILM10_replicate8_4.str.admix.K=1.out,3230.127172
K1_ILM10_replicate8_5.str.admix.K=1.out,3309.028566
K1_ILM10_replicate8_6.str.admix.K=1.out,4272.298616
K1_ILM10_replicate8_7.str.admix.K=1.out,3685.723800
K1_ILM10_replicate8_8.str.admix.K=1.out,5068.243102
K1_ILM10_replicate8_9.str.admix.K=1.out,3060.891561
K1_ILM10_replicate9_0.str.admix.K=1.out,4184.767053
K1_ILM10_replicate9_10.str.admix.K=1.out,4574.491356
K1_ILM10_replicate9_11.str.admix.K=1.out,874.955433
K1_ILM10_replicate9_12.str.admix.K=1.out,2362.355753
K1_ILM10_replicate9_13.str.admix.K=1.out,2459.524822
K1_ILM10_replicate9_14.str.admix.K=1.out,4046.667642
K1_ILM10_replicate9_15.str.admix.K=1.out,2748.092166
K1_ILM10_replicate9_16.str.admix.K=1.out,3153.127955
K1_ILM10_replicate9_17.str.admix.K=1.out,1972.644444
K1_ILM10_replicate9_18.str.admix.K=1.out,5176.556981
K1_ILM10_replicate9_19.str.admix.K=1.out,3209.381746
K1_ILM10_replicate9_1.str.admix.K=1.out,3110.506844
K1_ILM10_replicate9_2.str.admix.K=1.out,2802.191118
K1_ILM10_replicate9_3.str.admix.K=1.out,3024.956304
K1_ILM10_replicate9_4.str.admix.K=1.out,3114.660761
K1_ILM10_replicate9_5.str.admix.K=1.out,2797.695382
K1_ILM10_replicate9_6.str.admix.K=1.out,5443.677864
K1_ILM10_replicate9_7.str.admix.K=1.out,4112.013792
K1_ILM10_replicate9_8.str.admix.K=1.out,1316.763646
K1_ILM10_replicate9_9.str.admix.K=1.out,1472.228824
K2_ILM10_replicate0_0.str.admix.K=2.out,1517.842363
K2_ILM10_replicate0_10.str.admix.K=2.out,3124.814591
K2_ILM10_replicate0_11.str.admix.K=2.out,2498.107961
K2_ILM10_replicate0_12.str.admix.K=2.out,2551.215081
K2_ILM10_replicate0_13.str.admix.K=2.out,3174.864769
K2_ILM10_replicate0_14.str.admix.K=2.out,1926.013242
K2_ILM10_replicate0_15.str.admix.K=2.out,1923.296043
K2_ILM10_replicate0_16.str.admix.K=2.out,3254.535487
K2_ILM10_replicate0_17.str.admix.K=2.out,3226.163914
K2_ILM10_replicate0_18.str.admix.K=2.out,1997.997311
K2_ILM10_replicate0_19.str.admix.K=2.out,3009.991973
K2_ILM10_replicate0_1.str.admix.K=2.out,4046.154223
K2_ILM10_replicate0_2.str.admix.K=2.out,3126.579275
K2_ILM10_replicate0_3.str.admix.K=2.out,6375.643584
K2_ILM10_replicate0_4.str.admix.K=2.out,3215.419919
K2_ILM10_replicate0_5.str.admix.K=2.out,2213.169028
K2_ILM10_replicate0_6.str.admix.K=2.out,2281.293263
K2_ILM10_replicate0_7.str.admix.K=2.out,1954.692644
K2_ILM10_replicate0_8.str.admix.K=2.out,2500.634984
K2_ILM10_replicate0_9.str.admix.K=2.out,2705.609528
K2_ILM10_replicate1_0.str.admix.K=2.out,3708.703175
K2_ILM10_replicate1_10.str.admix.K=2.out,1844.275509
K2_ILM10_replicate1_11.str.admix.K=2.out,3055.938730
K2_ILM10_replicate1_12.str.admix.K=2.out,2510.266210
K2_ILM10_replicate1_13.str.admix.K=2.out,1926.011311
K2_ILM10_replicate1_14.str.admix.K=2.out,1246.861122
K2_ILM10_replicate1_15.str.admix.K=2.out,2120.312072
K2_ILM10_replicate1_16.str.admix.K=2.out,3074.365111
K2_ILM10_replicate1_17.str.admix.K=2.out,3500.604548
K2_ILM10_replicate1_18.str.admix.K=2.out,2339.831706
K2_ILM10_replicate1_19.str.admix.K=2.out,2844.349428
K2_ILM10_replicate1_1.str.admix.K=2.out,3369.859944
K2_ILM10_replicate1_2.str.admix.K=2.out,2395.978026
K2_ILM10_replicate1_3.str.admix.K=2.out,2858.516943
K2_ILM10_replicate1_4.str.admix.K=2.out,4554.042651
K2_ILM10_replicate1_5.str.admix.K=2.out,2833.213821
K2_ILM10_replicate1_6.str.admix.K=2.out,2455.389995
K2_ILM10_replicate1_7.str.admix.K=2.out,3027.545242
K2_ILM10_replicate1_8.str.admix.K=2.out,2856.782565
K2_ILM10_replicate1_9.str.admix.K=2.out,3199.114595
K2_ILM10_replicate2_0.str.admix.K=2.out,3382.881334
K2_ILM10_replicate2_10.str.admix.K=2.out,3358.123672
K2_ILM10_replicate2_11.str.admix.K=2.out,2072.880812
K2_ILM10_replicate2_12.str.admix.K=2.out,2013.957801
K2_ILM10_replicate2_13.str.admix.K=2.out,2632.841922
K2_ILM10_replicate2_14.str.admix.K=2.out,2004.884084
K2_ILM10_replicate2_15.str.admix.K=2.out,3540.723233
K2_ILM10_replicate2_16.str.admix.K=2.out,1817.437081
K2_ILM10_replicate2_17.str.admix.K=2.out,3260.757806
K2_ILM10_replicate2_18.str.admix.K=2.out,1543.037966
K2_ILM10_replicate2_19.str.admix.K=2.out,2710.725107
K2_ILM10_replicate2_1.str.admix.K=2.out,3901.733811
K2_ILM10_replicate2_2.str.admix.K=2.out,2064.120656
K2_ILM10_replicate2_3.str.admix.K=2.out,2909.220525
K2_ILM10_replicate2_4.str.admix.K=2.out,1711.339833
K2_ILM10_replicate2_5.str.admix.K=2.out,1355.526236
K2_ILM10_replicate2_6.str.admix.K=2.out,2230.401624
K2_ILM10_replicate2_7.str.admix.K=2.out,2392.370007
K2_ILM10_replicate2_8.str.admix.K=2.out,2064.245862
K2_ILM10_replicate2_9.str.admix.K=2.out,2426.026772
K2_ILM10_replicate3_0.str.admix.K=2.out,2371.507824
K2_ILM10_replicate3_10.str.admix.K=2.out,4775.997855
K2_ILM10_replicate3_11.str.admix.K=2.out,4235.505896
K2_ILM10_replicate3_12.str.admix.K=2.out,2626.737293
K2_ILM10_replicate3_13.str.admix.K=2.out,1831.990258
K2_ILM10_replicate3_14.str.admix.K=2.out,2119.873940
K2_ILM10_replicate3_15.str.admix.K=2.out,4123.525178
K2_ILM10_replicate3_16.str.admix.K=2.out,3113.587237
K2_ILM10_replicate3_17.str.admix.K=2.out,2725.576775
K2_ILM10_replicate3_18.str.admix.K=2.out,2386.944899
K2_ILM10_replicate3_19.str.admix.K=2.out,2064.120656
K2_ILM10_replicate3_1.str.admix.K=2.out,3019.084542
K2_ILM10_replicate3_2.str.admix.K=2.out,5420.046780
K2_ILM10_replicate3_3.str.admix.K=2.out,4225.924785
K2_ILM10_replicate3_4.str.admix.K=2.out,4570.512679
K2_ILM10_replicate3_5.str.admix.K=2.out,2310.728846
K2_ILM10_replicate3_6.str.admix.K=2.out,1760.896113
K2_ILM10_replicate3_7.str.admix.K=2.out,3333.463453
K2_ILM10_replicate3_8.str.admix.K=2.out,2336.941316
K2_ILM10_replicate3_9.str.admix.K=2.out,2698.002628
K2_ILM10_replicate4_0.str.admix.K=2.out,3707.768241
K2_ILM10_replicate4_10.str.admix.K=2.out,2936.298439
K2_ILM10_replicate4_11.str.admix.K=2.out,3036.988499
K2_ILM10_replicate4_12.str.admix.K=2.out,1724.067937
K2_ILM10_replicate4_13.str.admix.K=2.out,4512.301564
K2_ILM10_replicate4_14.str.admix.K=2.out,1823.829204
K2_ILM10_replicate4_15.str.admix.K=2.out,2717.880017
K2_ILM10_replicate4_16.str.admix.K=2.out,2650.985213
K2_ILM10_replicate4_17.str.admix.K=2.out,1817.032027
K2_ILM10_replicate4_18.str.admix.K=2.out,2572.051277
K2_ILM10_replicate4_19.str.admix.K=2.out,1315.676581
K2_ILM10_replicate4_1.str.admix.K=2.out,2808.889877
K2_ILM10_replicate4_2.str.admix.K=2.out,2402.646549
K2_ILM10_replicate4_3.str.admix.K=2.out,1584.661581
K2_ILM10_replicate4_4.str.admix.K=2.out,3110.775211
K2_ILM10_replicate4_5.str.admix.K=2.out,1641.562570
